source,raw_text
github_scipy,ENH: Make `xp_result_type` better follow expected integer to floating point promotion when `force_floating=True`
github_scipy,BUG: Nix build fails with blas & lapack when these are built with 64 index support
github_scipy,DOC: 1.17 API changes not mentioned in the 1.17.0rc2 release notes
github_scipy,"ENH: interpolate: return `lam` value determined by GCV from `make_smoothing_spline(..., lam=None)`"
github_scipy,CI: linalg: several test failures for ILP64
github_scipy,BUG: signal.tf2zpk: memory leak via `np.roots`
github_scipy,ENH: spatial: planar k(2)-center support
github_scipy,"DOC: `find_peaks_cwt` docs reference `cwt`, which no longer exists"
github_scipy,BUG: spatial: `voronoi` has internal issue with Qhull and infinite edges?
github_scipy,BUG: integrate: odeint with float-valued func fails with numpy 2.4
github_scipy,QUERY: stats: timedelta input
github_scipy,ShortTimeFFT slowness
github_scipy,BUG: `scipy.special.pro_cv_seq` aborts with some values
github_scipy,BUG: cluster: `vq.kmeans` and `vq.kmeans2` segfaults with extreme values
github_scipy,BUG: `import scipy.stats.sampling` raises `AttributeError` on NumPy 2.4.0
github_scipy,"BENCH, MAINT: (sparse) asv suite compat with NumPy 2.4.0"
github_scipy,"BUG: ndimage: uninitialized variable ""icoor"" in NI_GeometricTransform"
github_scipy,RFC: Should Dask support remain a priority?
github_scipy,BUG: optimize.shgo: identical branches in sampling_custom
github_scipy,ENH: spatial.transform.Rotation: I discovered a method to bypass atan2 in rotation
github_scipy,RFC: How should `xp_capabilities` work and be used for classes?
github_scipy,Bounds Correct Type Annotation
github_scipy,"BUG: optimize `minimize(..., method=""BFGS"")` float32 behaviour incorrect"
github_scipy,BUG: Segmentation fault for BSpline basis_element constructed with internal knots of length 1
github_scipy,ENH: place_poles function for State-Space observer
github_scipy,MAINT:optimize: Add license details of optimize solvers
github_scipy,BUG: sparse.linalg.expm_multiply: nondeterminism
github_scipy,"ENH: spatial: New syntax for composing shape (..., 3) arrays representing translations with Rotations and RigidTransforms"
github_scipy,BUG: array types: `torch.asarray` removes `requires_grad` from torch tensors
github_scipy,BUG: Core dump in B-spline interpolation derivatives if order is high enough
github_scipy,BUG: sparse.linalg.spilu does not drop entries less than tolerance
github_scipy,DOC: Mention that the Generalized Normal Distribution is also known as the generalized error distribution
github_scipy,Build warnings with g++ 14 on linux in a conda env
github_scipy,"TST, CI: _lib/tests/test_import_cycles.py::test_public_modules_importable failure on Windows-ARM"
github_scipy,BUG: Inconsistent rounding behavior in scipy.ndimage.map_coordinates
github_scipy,MAINT: lint: fix failures following bump to Python 3.12
github_scipy,DOC: 1.17 API changes not mentioned in the 1.17.0rc1 release notes
github_scipy,ENH: spatial.transform: True Divide for `RigidTransform` and `Rotation`
github_scipy,ENH: linalg: consistent support for zero-size batch
github_scipy,CI/DEV: consider adding `actionlint` to lint suite
github_scipy,BUG: `milp` solver claims optimality but returns an infeasible solution
github_scipy,BUG: signal: filtfilt causes TypeError: can't multiply sequence by non-int of type 'float'
github_scipy,BUG: `1.17.0rc1`: ModuleNotFoundError: No module named 'scipy.integrate._lsoda'
github_scipy,MAINT: wheel build/upload failures
github_scipy,BUG: <Please write a comprehensive title after the 'BUG: ' prefix>
github_scipy,ENH: stats: conditional dependence coefficient (CODEC)
github_scipy,ENH: Improve the Numerical Stability of BiCGStab
github_scipy,BUG: special: wofz gives wrong result around the negative y axis?
github_scipy,BUG: optimize: trust-constr with feasible x0 and fixed parameter loops 120 iters without changing x (only 1 function eval)
github_scipy,BUG: spatial: `ConvexHull.equations` contains exact duplicate inequalities
github_scipy,ENH: stats/special: Implement Tracy-Widom distribution
github_scipy,BUG: specal: assoc_legendre_p incorrectly normalized at endpoints
github_scipy,"BUG: TestVectorNorms is to strict for AOCL-BLAS, but accepts worse results"
github_scipy,DOC: Mistake in scipy.special.airy documentation
github_scipy,BUG: Test suite failures on ppc64
github_scipy,ENH: spatial.transform: Add `normalize` argument to `Rotation.from_matrix`
github_scipy,BUG: _lib: ccallback fails inside _import_cffi with AttributeError when used concurrently
github_scipy,ENH: Random Symplectic Unitariy matrices
github_scipy,BUG: interpolate: `RectBivariateSpline.partial_derivative` rejects valid x-derivative orders when `kx > ky`
github_scipy,BUG: io.hb_write: crashes on sparse matrices with zero stored entries
github_scipy,BUG: `test_axis_nan_policy_fast` is flaky on scipy-release
github_scipy,"BUG: Regions in parameter space (a, b, x) where special.betainc returns bad values"
github_scipy,ENH: interpolate: add ability to store simplices in LinearNDInterpolator
github_scipy,BUG: `scipy.cluster.vq.kmeans` returns a distortion value from a different iteration than the final centroids
github_scipy,DOC: odr: output.eps > explain that `eps = f(xi + delta) - yi`
github_scipy,BUG: `PPoly.roots` crashes with “Internal error in root finding” for valid cubic spline (zero function)
github_scipy,CI: TypeError: Multiple namespaces for array inputs
